time,open,high,low,close,Time Segmented VWAP,Previous Time Segmented VWAP,Rolling VWAP,Time Segmented STDEV1,Time Segmented STDEV1,Time Segmented STDEV2,Time Segmented STDEV2,Time Segmented STDEV3,Time Segmented STDEV3,Time Segmented STDEV4,Time Segmented STDEV4,Previous Time Segmented STDEV1,Previous Time Segmented STDEV1,Previous Time Segmented STDEV2,Previous Time Segmented STDEV2,Previous Time Segmented STDEV3,Previous Time Segmented STDEV3,Previous Time Segmented STDEV4,Previous Time Segmented STDEV4,Rolling VWAP STDEV1,Rolling VWAP STDEV1,Rolling VWAP STDEV2,Rolling VWAP STDEV2,Rolling VWAP STDEV3,Rolling VWAP STDEV3,Rolling VWAP STDEV4,Rolling VWAP STDEV4,5 Ema,13 Ema,50 Ema,200 Ema,800 Ema,Upper 50 Ema Cloud,Lower 50 Ema Cloud,YDay Hi,YDay Lo,LWeek Hi,LWeek Lo,Psy-Hi,Psy-Lo,Daily Open,HK VWAP,LDN VWAP,NY VWAP,VWAP_Asia - STDEV +3,VWAP_Asia - STDEV +2,VWAP_Asia - STDEV +1,VWAP_Asia - STDEV -1,VWAP_Asia - STDEV -2,VWAP_Asia - STDEV -3,VWAP_London - STDEV +3,VWAP_London - STDEV +2,VWAP_London - STDEV +1,VWAP_London - STDEV -1,VWAP_London - STDEV -2,VWAP_London - STDEV -3,VWAP_NY - STDEV +3,VWAP_NY - STDEV +2,VWAP_NY - STDEV +1,VWAP_NY - STDEV -1,VWAP_NY - STDEV -2,VWAP_NY - STDEV -3,5 Ema,13 Ema,50 Ema,200 Ema,800 Ema,Upper 50 Ema Cloud,Lower 50 Ema Cloud,YDay Hi,YDay Lo,LWeek Hi,LWeek Lo,Psy-Hi,Psy-Lo,Daily Open,PVSRA Volume,Volume MA
1676160000,552645079838,560771598360,541057548188,547803774051,563652299480.4952,NaN,506175533740.80835,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,554787705779.2722,560561631655.982,532672243001.0804,560020187296.554,660108601262.6818,544573924067.17596,520770561934.9848,NaN,NaN,596822792050,541040265077,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,554787705779.2722,560561631655.982,532672243001.0804,560020187296.554,660108601262.6818,544573924067.17596,520770561934.9848,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68511714151.93577,NaN
1676246400,546824587475,553538865816,525628012054,540359814436,539842230768.6667,NaN,504982914532.4826,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,549978408664.8481,557675657767.4132,532973716390.68506,559824561695.9514,659809603043.3892,544636850318.2249,521310582463.1452,NaN,NaN,596822792050,541040265077,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,549978408664.8481,557675657767.4132,532973716390.68506,559824561695.9514,659809603043.3892,544636850318.2249,521310582463.1452,NaN,NaN,NaN,NaN,NaN,NaN,NaN,112206447514.71353,NaN
1676332800,540945203742,559561013231,534153106575,554187937552,544197494564.6712,NaN,504197656930.0094,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,551381584960.5654,557177412022.3541,533805646632.30524,559768475883.5737,659545878535.2958,545368900906.82764,522242392357.78284,NaN,NaN,598391155285,536339700075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,551381584960.5654,557177412022.3541,533805646632.30524,559768475883.5737,659545878535.2958,545368900906.82764,522242392357.78284,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95761388775.05762,NaN
1676419200,557148500493,594160175787,551934852311,592101429361,558112798198.8245,NaN,503554967240.22015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,564954866427.377,562166557356.4464,536091755758.9207,560090196813.6974,659377477913.1377,547713849393.0556,524469662124.7858,NaN,NaN,598391155285,536339700075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,564954866427.377,562166557356.4464,536091755758.9207,560090196813.6974,659377477913.1377,547713849393.0556,524469662124.7858,NaN,NaN,NaN,NaN,NaN,NaN,NaN,135954746748.58603,NaN
1676505600,592372501276,608616692599,570467507851,572454810728,566149168958.6411,NaN,503331569674.0602,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,567454847860.918,563636307838.0969,537517757914.57086,560213227797.9193,659160442539.3921,549277749643.6412,525757766185.50055,NaN,NaN,598391155285,536339700075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,567454847860.918,563636307838.0969,537517757914.57086,560213227797.9193,659160442539.3921,549277749643.6412,525757766185.50055,NaN,NaN,NaN,NaN,NaN,NaN,NaN,156176930356.55362,NaN
1676592000,574176867908,602136117153,570480842294,593595009267,571994267487.7676,NaN,506198580872.99835,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,576168234996.2787,567916122327.9402,539716865810.74457,560545384827.4624,658996733592.3949,551655719266.1305,527778012355.3587,NaN,NaN,598391155285,536339700075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,576168234996.2787,567916122327.9402,539716865810.74457,560545384827.4624,658996733592.3949,551655719266.1305,527778012355.3587,NaN,NaN,NaN,NaN,NaN,NaN,NaN,174587663803.05356,NaN
1676678400,593601712348,605420508087,588279528677,595017810451,576460344635.9774,NaN,508194993025.5178,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,582451426814.5192,571787792059.8059,541885530306.44086,560888394037.6469,658836985969.0706,554062412460.9019,529708648151.9798,NaN,NaN,598391155285,536339700075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,582451426814.5192,571787792059.8059,541885530306.44086,560888394037.6469,658836985969.0706,554062412460.9019,529708648151.9798,NaN,NaN,NaN,NaN,NaN,NaN,NaN,152344125830.31885,NaN
1676764800,596439090724,612490540764,587244701512,595284195552,578576740796.9052,NaN,509413080433.8431,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,586729016393.6794,575144421130.1194,543979595610.1883,561230640818.8842,658678302347.5548,556386078306.6672,531573112913.70935,NaN,NaN,598391155285,536339700075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,586729016393.6794,575144421130.1194,543979595610.1883,561230640818.8842,658678302347.5548,556386078306.6672,531573112913.70935,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88565476627.75095,NaN
1676851200,594927066619,613650189897,584959026677,603970039395,600859751989.6666,NaN,511166875922.26526,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,592476024060.7863,579262366596.5309,546332162033.1221,561655908466.4077,658541702440.0577,558992194264.7947,533672129801.4494,NaN,NaN,598391155285,536339700075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,592476024060.7863,579262366596.5309,546332162033.1221,561655908466.4077,658541702440.0577,558992194264.7947,533672129801.4494,NaN,NaN,NaN,NaN,NaN,NaN,NaN,151494504352.56708,NaN
1676937600,605628546813,612614336787,581906979337,592695777888,598460083592.7421,NaN,512781705125.45557,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,592549275336.5242,581181425352.4551,548150343047.0389,561964762888.5131,658377293140.3022,560983562846.5797,535317123247.4981,NaN,NaN,612490540764,525628012054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,592549275336.5242,581181425352.4551,548150343047.0389,561964762888.5131,658377293140.3022,560983562846.5797,535317123247.4981,NaN,NaN,NaN,NaN,NaN,NaN,NaN,133601467476.42319,NaN
