time,open,high,low,close,5 Ema,13 Ema,50 Ema,200 Ema,800 Ema,Upper 50 Ema Cloud,Lower 50 Ema Cloud,YDay Hi,YDay Lo,LWeek Hi,LWeek Lo,Psy-Hi,Psy-Lo,Daily Open,PVSRA Volume,Volume MA,PVSRA Volume,50 EMA
1666051200,898320659588,906433241900,876284022260,888102644790,888695099976.223,892221745664.3577,924480440778.6866,1165100955061.129,1295276149096.5024,943785499208.8999,905175382348.4734,NaN,NaN,913863994813,832738039881,NaN,NaN,NaN,94130302654.4084,NaN,94130302654.4084,924480440778.6866
1666137600,886982809261,890519609605,870003436840,874591503022,883993900991.482,889703139572.5923,922524011847.0519,1162210313747.3066,1294225750479.5874,941804926410.7014,903243097283.4023,NaN,NaN,913863994813,832738039881,NaN,NaN,NaN,76169948824.34454,NaN,76169948824.34454,922524011847.0519
1666224000,874918125482,886482100938,861777332205,870290635738,879426145906.988,886929924739.0791,920475644156.5009,1159305640334.2788,1293167235836.0378,939649459288.9188,901301829024.0829,NaN,NaN,913863994813,832738039881,NaN,NaN,NaN,79984061249.37306,NaN,79984061249.37306,920475644156.5009
1666310400,869285354467,881117370836,851637428478,876612436289,878488242700.9921,885455997817.6393,918755518357.7754,1156492772632.3357,1292127148945.783,937938489219.336,899572547496.2147,NaN,NaN,913863994813,832738039881,NaN,NaN,NaN,99347002190.79362,NaN,99347002190.79362,918755518357.7754
1666396800,877058939954,884888300549,872353983703,880304582516,879093689305.9948,884720081345.9766,917247638520.843,1153744631437.1482,1291098877868.555,936489559789.7191,898005717251.9669,NaN,NaN,913863994813,832738039881,NaN,NaN,NaN,57317043556.5079,NaN,57317043556.5079,917247638520.843
1666483200,880336147469,903700642910,872468241801,898319267006,885502215205.9965,886662822154.5514,916505349441.8296,1151203085522.4104,1290118154745.3025,935781256119.9615,897229442763.6976,NaN,NaN,913863994813,832738039881,NaN,NaN,NaN,74704326368.76273,NaN,74704326368.76273,916505349441.8296
1666569600,898515959112,903357064614,878766293537,888288216768,886430882393.3309,886895021385.0441,915398795219.3264,1148587017176.5955,1289114834051.2268,934775585181.9371,896022005256.7157,NaN,NaN,906433241900,851637428478,NaN,NaN,NaN,97347966831.54597,NaN,97347966831.54597,915398795219.3264
1666656000,889560519503,948841118836,883667975992,928199576773,900353780519.8873,892795672154.7521,915900786652.8038,1146394107321.8333,1288213672360.145,935281683964.1082,896519889341.4995,NaN,NaN,906433241900,851637428478,NaN,NaN,NaN,157704514178.7726,NaN,157704514178.7726,915900786652.8038
1666742400,926747174520,972418042125,923890883150,959568324371,920091961803.5916,902334622471.3589,917613239112.341,1144535144307.3972,1287393084724.7166,936966328891.6746,898260149333.0073,NaN,NaN,906433241900,851637428478,NaN,NaN,NaN,192158466827.66953,NaN,192158466827.66953,917613239112.341
1666828800,959944125470,971693148605,933095922994,940115035253,926766319620.061,907731824297.3076,918495662490.406,1142501113371.5325,1286525973490.0806,937795458926.2755,899195866054.5365,NaN,NaN,906433241900,851637428478,NaN,NaN,NaN,164611692158.10138,NaN,164611692158.10138,918495662490.406
1666915200,940238310016,969396464939,925816613554,959576758852,937703132697.374,915138243519.4065,920106685877.1351,1140680970540.4924,1285709620894.2302,939366114675.6814,900847257078.5889,NaN,NaN,906433241900,851637428478,NaN,NaN,NaN,148202565293.40674,NaN,148202565293.40674,920106685877.1351
1667001600,960000552119,1002684620653,954615241326,981632897973,952346387789.2494,924637479869.9198,922519478508.3455,1139098402654.2488,1284950378140.3694,941720460294.9921,903318496721.6989,NaN,NaN,906433241900,851637428478,NaN,NaN,NaN,164937487319.11612,NaN,164937487319.11612,922519478508.3455
1667088000,981790435170,996535223846,962267442434,972427353939,959040043172.4996,931464604736.9313,924476650093.8613,1137439984259.0723,1284170045995.0476,943649472929.3851,905303827258.3375,NaN,NaN,906433241900,851637428478,NaN,NaN,NaN,127541928252.1762,NaN,127541928252.1762,924476650093.8613
1667174400,972922305740,994989322421,953961946350,971921639517,963333908620.6664,937244181134.084,926337237914.3766,1135793035555.1711,1283390399536.925,945481324643.1799,907193151185.5732,NaN,NaN,1002684620653,878766293537,NaN,NaN,NaN,160483065769.20184,NaN,160483065769.20184,926337237914.3766
1667260800,971426854920,989755929625,960893357897,972406256471,966358024570.7776,942267334753.6434,928143866093.0677,1134167296459.8062,1282613909791.4421,947243145382.3989,909044586803.7366,NaN,NaN,1002684620653,878766293537,NaN,NaN,NaN,136702360809.70796,NaN,136702360809.70796,928143866093.0677
1667347200,971648529672,989684518414,941606714949,951589796767,961435281969.5184,943599115041.2657,929063314354.7905,1132350604920.5742,1281787382667.7856,948164519423.4858,909962109286.0952,NaN,NaN,1002684620653,878766293537,NaN,NaN,NaN,184817163610.505,NaN,184817163610.505,929063314354.7905
1667433600,951054395673,973864526138,943496256533,956242798234,959704454057.679,945405355497.3706,930129176467.7007,1130598288436.1306,1280974537263.4565,949230641491.6523,911027711443.749,NaN,NaN,1002684620653,878766293537,NaN,NaN,NaN,142817250952.04068,NaN,142817250952.04068,930129176467.7007
1667520000,956944511215,1021458367672,953015753386,1009718084136,976375664083.786,954592888160.032,933250310101.7516,1129395500333.6418,1280297242748.7812,952316669962.3926,914183950241.1106,NaN,NaN,1002684620653,878766293537,NaN,NaN,NaN,206600300933.956,NaN,206600300933.956,933250310101.7516
1667606400,1009385169306,1029953260907,998963412439,1010298242833,987683190333.524,962550795970.4559,936271797659.8397,1128210452995.327,1279623087942.4998,955193688534.4818,917349906785.1976,NaN,NaN,1002684620653,878766293537,NaN,NaN,NaN,132912758819.40051,NaN,132912758819.40051,936271797659.8397
1667692800,1009945296909,1017500291139,978528518390,982002634807,985789671824.6827,965329630089.9623,938065163822.4735,1126755648834.249,1278879965712.4485,956774879707.7308,919355447937.2162,NaN,NaN,1002684620653,878766293537,NaN,NaN,NaN,118036194687.4728,NaN,118036194687.4728,938065163822.4735
1667779200,982611923624,1000844269275,959834837229,974862691482,982147345043.7885,966691496003.1105,939508204122.847,1125244276124.2764,1278120871394.7695,958034032737.0123,920982375508.6818,NaN,NaN,1029953260907,941606714949,NaN,NaN,NaN,168179642307.43063,NaN,168179642307.43063,939508204122.847
1667865600,974538395270,993714988306,812793802958,876536622909,946943770998.859,953812228418.2375,937038730349.755,1122769573107.209,1277118164157.6016,955534782994.9362,918542677704.5739,NaN,NaN,1029953260907,941606714949,NaN,NaN,NaN,385040632792.5364,NaN,385040632792.5364,937038730349.755
1667952000,875794662105,883392264804,736401198341,753891220057,882592920684.906,925252084366.6322,929856475044.1567,1119099141733.575,1275811729840.2468,948934882746.1989,910778067342.1146,NaN,NaN,1029953260907,941606714949,NaN,NaN,NaN,335620744492.7629,NaN,335620744492.7629,929856475044.1567
1668038400,754644824824,870100640757,743264691044,841608589347,868931476905.604,913303013649.5419,926395773644.2682,1116338041709.828,1274727577179.839,945589433143.9912,907202114144.5452,NaN,NaN,1029953260907,941606714949,NaN,NaN,NaN,272464923563.4012,NaN,272464923563.4012,926395773644.2682
1668124800,840443139219,848184962233,785587904259,819260935087,852374629632.736,899868430997.7501,922194407426.336,1113382050599.153,1273590332130.9182,941580207374.7457,902808607477.9264,NaN,NaN,1029953260907,941606714949,NaN,NaN,NaN,177174467659.06396,NaN,177174467659.06396,922194407426.336
1668211200,819050967522,824743122847,790075544700,803096163268,835948474177.824,886043821322.0715,917523888047.5778,1110294628834.664,1272415565167.4653,937157547230.9679,897890228864.1876,NaN,NaN,1029953260907,941606714949,NaN,NaN,NaN,98490058695.35632,NaN,98490058695.35632,917523888047.5778
1668297600,801838360462,816520279312,773661002416,782478607665,818125185340.216,871248790799.6327,912227994699.2413,1107032777877.752,1271192251915.2744,932052943605.5446,892403045792.9381,NaN,NaN,1029953260907,941606714949,NaN,NaN,NaN,94668570833.23325,NaN,94668570833.23325,912227994699.2413
1668384000,780300213313,817818257616,753122924853,793043480670,809764617116.8107,860076603638.2566,907554092188.2906,1103908506263.7444,1269998372336.6345,927564929632.4563,887543254744.125,NaN,NaN,1000844269275,736401198341,NaN,NaN,NaN,153949592621.13565,NaN,153949592621.13565,907554092188.2906
1668470400,793704778393,819351628062,786250372475,802772132080,807433788771.2072,851890250558.5056,903444995713.4557,1100912124431.0703,1268831764995.1697,923536261197.8914,883353730229.02,NaN,NaN,1000844269275,736401198341,NaN,NaN,NaN,113338661485.42175,NaN,113338661485.42175,903444995713.4557
1668556800,803847270720,813134090191,775113773709,790091957200,801653178247.4714,843061922935.8619,898999778516.8496,1097819386448.6716,1267636409669.8384,919072815784.4723,878926741249.2269,NaN,NaN,1000844269275,736401198341,NaN,NaN,NaN,107891873102.84393,NaN,107891873102.84393,898999778516.8496
1668643200,790384077543,797641409933,772960821475,786667118262,796657824918.981,835005522268.1674,894594576153.9143,1094723343979.1525,1266435487593.9136,914771937868.2593,874417214439.5693,NaN,NaN,1000844269275,736401198341,NaN,NaN,NaN,88917631775.66293,NaN,88917631775.66293,894594576153.9143
1668729600,787808193556,803886814021,780471365008,790147674960,794487774932.6539,828597258367.0006,890498619244.349,1091692740307.3201,1265246254603.5667,910491740682.7755,870505497805.9225,NaN,NaN,1000844269275,736401198341,NaN,NaN,NaN,81321833155.87839,NaN,81321833155.87839,890498619244.349
1668816000,791478301906,799161375980,780926267531,791259055609,793411535158.1027,823263229401.5719,886606871650.8059,1088703350409.8243,1264062765966.876,906374706803.7026,866839036497.9092,NaN,NaN,1000844269275,736401198341,NaN,NaN,NaN,55654686795.47701,NaN,55654686795.47701,886606871650.8059
1668902400,792224916739,797308842300,758314233943,763955786082,783592952132.7351,814790737498.7759,881797025157.9115,1085472031361.7863,1262814059400.3718,901305505617.7322,862288544698.0908,NaN,NaN,1000844269275,736401198341,NaN,NaN,NaN,78135084230.41081,NaN,78135084230.41081,881797025157.9115
1668988800,764316427230,768881092087,727580780351,745262564088,770816156117.8234,804858141297.2365,876442732566.9346,1082086862533.1914,1261521795991.352,895673983902.538,857211481231.3312,NaN,NaN,819351628062,753122924853,NaN,NaN,NaN,126660719020.75365,NaN,126660719020.75365,876442732566.9346
